BlaI	BlaZ	CHIPS	Cna	EdinB	EtD	Fib	GapA	Hla	Hld	HlgA	HlgB	HlgC	IsaB	KatA	LukD	LukE	LukG	LukH	PBP2A	Nuc	PSMa1	PSMa4	LukF	LukS	Sak	SarA	Sbi	SCIN	SdrD	SEA	SEC	Spa	SplB	SspA_V8	ScpA	TSST1
0	0	0,03	0	0	0	0	1,26	0	0	0	0,08	0	0	0,02	0	0	0,01	0,04	0	0,09	0	0	0	0	0	0,3	0,12	0,21	0,06	0	0	0,07	0	0,05	0,04	0
0	0,02	0	0	0	0	0,01	0,52	0,49	12,73	0,02	0,05	0,31	0,05	0,08	0,03	0,03	0,02	0	0	0,39	1,41	0	0	0	0	0,26	0,41	0	0,01	0	0	0	0,03	0,01	0,32	0
0,13	0,02	0	0	0	0	0,11	0,47	0,7	75,86	0,03	0,1	1,21	0,06	0,04	0,25	0,36	0,63	0,15	0,01	1,03	12,59	0,02	0	0	0,04	0,24	0,27	0,39	0	0,07	0	0	0,39	0,05	0	0
0	0,02	0,17	0,01	0	0	0,05	0,54	1,9	88,47	0,09	0,16	1,05	0	0,04	0	0	0	0	0	0,44	36,5	0,05	0	0	0	0,23	0,12	0,36	0,01	0	0	0	0	0,06	0,4	0
0,1	0,01	0,09	0	0	0	0,13	0,28	0	0	0,01	0,01	0,03	0	0,04	0	0	0,07	0,01	0	0,09	0	0	0	0	0,01	0,19	0,28	0,02	0	0	0	0,15	0	0	0	0
0,07	0,02	0	0,03	0	0	0,11	0,62	0	0	0,03	0,03	0,06	0,06	0,02	0	0	0,22	0,03	0	0,12	0	0	0,11	0,07	0	0,24	0,72	0	0,04	0	0	0,1	0	0	0,38	0
0,08	0,02	0,11	0	0	0	0,19	0,66	0,19	10,72	0,02	0,05	0,24	0,05	0,03	0	0	0,24	0,03	0	0,63	0,72	0	0,8	0,64	0	0,23	0,31	0,4	0,02	0,01	0	0,11	0,01	0,01	0	0
0	0,04	0	0,03	0,3	0	0	0,43	0,51	99,14	0	0	0	0,16	0,06	0,13	0	0	0,04	0	1,08	11,04	0,03	3,34	2,22	0,05	0,29	0,27	0,33	0,08	0	0	0,02	0	0,1	0,24	0
0,13	0,02	0	0,01	0	0	0,04	0,71	0,09	13,92	0,01	0,02	0,16	0,07	0,05	0	0	0,52	0,08	0	0,46	22,88	0,03	2,72	1,47	0,04	0,34	0,18	0,36	0,08	0	0	0	0	0,03	0,94	0
0,12	0,02	0	0,05	0	0	0,08	0,39	0,05	19,48	0,01	0,04	0,29	0,1	0,03	0,03	0,03	0,26	0,05	0	0,68	1,15	0	1,48	0,86	0,04	0,2	0,17	0,28	0	0,08	0	0,02	0,02	0,03	0	0
0	0	0	0,01	0,13	0	0	0,6	0,24	23,09	0	0,08	0	0,1	0,07	0,12	0	0	0	0	0,63	15,23	0,03	2,88	1,49	0,04	0,31	0,1	0,14	0,02	0	0	0	0	0,13	0,68	0
0	0	0	0	0	0	0,15	0,34	0,66	51,76	0,02	0,05	0,86	0,06	0,04	0,25	0,41	0,54	0,13	0,13	0,44	11,61	0,02	0	0	0,03	0,23	0,18	0,34	0	0,09	0	0	0,72	0,05	0,01	0
0,07	0,01	0,25	0	0	0	0,15	0,25	0,32	28,12	0,02	0,03	0,01	0,07	0	0	0	0,71	0,14	0	0,86	3,98	0,02	7,76	2,62	0,03	0,12	0,2	0,32	0	0	0	0,05	0,27	0,03	1,38	0
0,1	0,02	0	0,02	0	0	0,04	0,27	0,48	60,81	0,01	0,06	0,7	0,08	0,02	0,03	0,06	0,85	0,12	0	0,66	9,14	0,03	8,52	2,1	0,04	0,14	0,08	0,31	0	0	0	0	0	0,1	1,65	0
0	0,01	0,13	0,04	0	0	0,09	0,33	0	27,88	0,03	0,08	0,89	0	0,01	0	0	0	0	0	1,2	3,29	0,01	4,47	1,29	0,02	0,13	0,1	0,47	0,06	0	0	0,07	0	0,02	0,43	0
0,1	0,01	0,13	0	0	0	0,08	0,32	0,15	4,61	0,02	0,02	0,23	0,05	0,01	0	0	0,38	0,08	0	0,82	3,92	0,02	4,4	1,17	0	0,14	0,22	0,47	0,07	0	0	0	0,03	0,02	0,4	0
0	0	0,03	0,01	0	0	0,01	0,28	0,37	31,37	0,01	0,01	0,16	0	0,02	0	0	0	0	0	0,27	9,68	0,02	0	0	0	0,16	0,08	0,14	0	0	0	0,04	0	0,05	0,13	0
0,05	0,02	0,05	0	0	0	0,09	0,33	0,07	4,67	0,01	0,02	0,11	0,07	0,02	0	0	0,13	0,02	0	0,26	0,52	0	0	0	0	0,15	0,17	0,29	0,26	0	0	0,16	0	0	0	0
0,07	0,01	0,09	0	0	0	0,02	0,21	0,17	14,85	0,02	0,01	0,09	0,07	0,02	0,02	0,01	0,31	0,07	0,01	0,21	1,5	0	1,66	0,37	0,01	0,08	0,12	0,21	0	0	0	0,05	0,01	0,01	0,1	0
0,07	0,03	0,09	0,03	0	0	0,07	0,32	0,05	6,74	0,02	0,12	0,79	0	0,01	0	0	0	0	0	0,13	1,76	0	0	0	0	0,19	0,08	0,34	0	0,02	0	0,06	0	0	0,15	0
0,08	0	0	0	0,69	0,52	0,1	0,28	0,46	35,42	0,03	0,06	0,77	0,07	0,01	0,06	0,14	0,36	0,07	0,01	0,56	5,62	0,02	8,48	2,05	0,02	0,14	0,08	0,22	0	0	0	0,01	0,21	0,07	0,87	0
0,07	0,02	0,09	0,01	0	0	0	0,3	0,39	32,52	0	0,03	0	0	0,01	0	0	0,41	0,08	0	0,35	10,64	0,02	3,36	0,98	0,02	0,19	0,06	0,21	0,01	0	0	0	0	0,02	0,28	0,76
0	0,06	0	0	0	0	0,07	0,39	1,01	78,62	0,02	0,05	0,87	0,05	0,02	0,06	0	0,96	0,12	0	0,21	19,62	0,05	0	0	0,11	0,27	0,06	0,21	0	0	0	0	0,98	0,04	2,51	0
0	0,02	0	0	0	0	0,19	0,19	0	48,52	0,02	0,14	2,01	0,06	0,02	0,18	0,54	1,3	0,28	0	1,92	7,92	0,03	0	0	0,05	0,11	0,23	0,5	0	0	0	0	1,89	0,01	1,46	0
0,07	0	0,04	0	0	0	0,15	0,2	0,06	1,78	0,01	0,01	0	0,12	0,01	0	0	0,09	0,02	0	0,14	0,39	0	0	0	0,01	0,09	0,29	0,2	0,06	0	0	0,15	0	0	0	0
0	0	0,1	0	0	0	0,03	0,22	0,07	15,43	0,06	0,04	0,37	0	0,02	0	0	0	0	0	0,32	14,94	0,02	0	0	0	0,08	0,11	0,29	0	0	0	0	0	0,01	0,43	0
0	0	0,07	0	0	0	0,06	0,39	0	0	0	0	0	0,1	0,03	0	0	0,06	0,06	0	0,03	0	0	0	0	0,06	0,11	0,11	0	0,53	0	0	0,28	0	0	0	0
0	0	0	0	0	0	0,05	0,45	1,01	58,83	0	0,04	0,36	0,09	0,03	0,02	0,01	0,7	0,14	0	0,31	30,75	0,07	5,81	1,02	0,03	0,15	0,12	0,29	0	0	0	0	0	0,07	3,73	0
0,06	0,01	0,16	0,07	0	0	0,11	0,37	0,25	18,05	0,03	0,06	0,69	0	0,02	0	0	0	0	0	0,85	1,74	0	3,34	0,8	0,07	0,13	0,33	0,49	0,06	0	0	0,1	0	0,03	0	0
0,06	0,06	0,18	0,01	0	0	0,14	0,3	0,31	33,85	0,04	0,14	3,81	0	0,02	0	0	0	0,05	0	0,78	4,71	0,05	0	0	0,08	0,3	0,3	0,64	0	0,06	0	0,03	0	0,04	0,13	1,35
0,11	0,04	0	0	0,19	0	0	0,21	0	120,46	0	0,6	0	0,1	0,03	0,08	0,07	0	0	0	0,39	22,27	0,06	8,11	1,69	0,04	0,17	0,27	0,24	0,09	0	0	0	0	0,19	1,53	0
0,09	0,02	0,05	0	0	0	0,2	0,22	0,23	4,06	0,01	0	0,15	0,2	0,01	0,01	0,02	0,6	0,12	0	1,17	0,33	0	0	0	0	0,09	0,21	0,4	0,03	0	0	0,01	0,06	0,05	0,37	0
0	0	0,14	0,11	0	0	0,07	0,29	0	0,79	0,01	0	0,02	0	0,01	0	0	0	0	0	0,31	0,07	0	0	0	0,06	0,09	0	0,5	0,05	0	0	0,32	0	0	0,24	0
0,08	0,02	0	0	0	0	0,06	0,28	0,06	36,55	0,02	0,03	0,47	0,07	0,02	0,03	0,06	0,28	0,06	0,03	0,4	14,12	0,04	0	0	0	0,21	0,13	0	0	0	0	0	0,53	0,03	0,49	0
0,06	0,02	0,31	0	0	0	0	0,38	1,47	103,14	0,1	0,15	0	0	0,03	0	0	0	0,09	0	1,02	14,56	0,04	0	0	0,04	0,31	0,11	1,39	0	0	1,58	0	0	0,22	1,27	0
0,07	0,02	0,1	0	0,83	0,76	0,08	0,31	0,77	56,18	0,18	0,07	0	0	0,02	0,07	0,2	0	0	0	1,14	8,3	0,02	0	0	0,1	0,24	0,12	0,42	0	0	0	0,03	0	0,13	0,92	0
