BlaI	BlaZ	CHIPS	Cna	EdinB	EtD	Fib	GapA	Hla	Hld	HlgA	HlgB	HlgC	IsaB	KatA	LukD	LukE	LukG	LukH	PBP2A	Nuc	PSMa1	PSMa4	LukF	LukS	Sak	SarA	Sbi	SCIN	SdrD	SEA	SEC	Spa	SplB	SspA_V8	ScpA	TSST1
0,12	0,01	0,24	0	0	0	0,2	0,71	0,35	18,17	0	0	0,13	0,17	0,07	0	0	0,11	0,02	0	1,03	0,52	0,01	0	0	0,1	0,27	0,27	0,48	0,48	0	0	0,88	0	0	0,09	0
0,17	0,02	0,2	0	0	0	0,11	0,17	0,04	4	0,01	0	0,03	0,04	0,02	0	0	0,09	0,02	0	0,98	1,5	0,01	0	0	0	0,06	0,32	0,64	0,18	0	0	0,29	0	0,01	0	0
0,18	0,02	0,69	0,11	0	0	0,28	0,15	0,01	17,66	0,03	0	0,39	0,07	0,02	0	0	0,24	0,05	0	1,17	1,01	0	0	0	0,05	0,07	0,26	0,05	0	0	0	0	0	0,02	0,15	0
0,13	0,05	0,29	0,12	0	0	0,13	0,57	0,53	46,67	0,02	0,01	0,78	0	0,04	0	0	0	0,04	0	1,31	1,78	0,01	2,7	3,15	0,03	0,24	0,31	0,52	0,22	0	0	0,05	0	0,08	0	0
0,17	0,02	0,42	0,02	0	0	0,02	0,49	1,61	50,67	0,04	0,01	0,63	0	0,08	0	0	0	0	0	0,35	21,58	0,05	0	0	0	0,22	0,1	0,3	0	0	0	0,01	0	0	0,26	0
0,16	0,04	0	0,02	0,52	0	0	0,38	1,52	124,05	0	0	0	0,08	0,08	0,1	0	0	0,1	0	1,19	18,72	0,07	5,29	6,28	0,08	0,26	0,1	0,39	0,1	0	0	0	0	0,36	0,98	0
0,11	0,01	0,14	0	0	0	0,19	0,58	0,13	4,12	0	0	0,07	0,07	0,04	0	0	0,05	0,01	0,01	0,46	0,56	0	0	0	0,04	0,22	0,25	0,3	0,28	0	0	0,32	0	0,01	0	0
0,16	0,01	0,15	0,03	0	0	0,04	0,74	0,83	26,88	0,01	0	0,12	0	0,04	0	0	0	0	0	0,61	5,17	0,01	0	0	0	0,21	0,12	0,28	0,03	0	0	0,03	0	0,02	0,13	0
0,21	0,04	0,15	0	0	0	0	0,38	0,23	64,85	0	0	0	0	0,08	0	0	0	0,03	0	0,53	8,01	0,03	0	0	0,09	0,17	0,15	0,36	0	0	1,15	0,08	0	0,11	0	0
0,24	0,01	0	0,04	0	0	0,09	0,3	0,04	15,13	0,01	0	0,08	0,03	0,04	0	0	0,05	0,02	0	0,66	1,7	0,01	0	0	0,05	0,1	0,12	0,29	0	0,04	0	0,03	0,01	0,02	0	0
0,19	0	0,1	0	0	0	0,24	0,3	0,51	28,18	0	0	0,09	0,38	0,06	0	0	0,08	0,02	0	1,88	0	0	0	0	0,12	0,11	0,28	0,05	2,44	0	0	0	0	0	0	0
0,27	0,06	0,71	0,04	0	0	0,28	0,31	1,2	73,87	0,06	0	1,38	0,11	0,06	0	0	0,28	0,08	0	1,06	5,61	0,04	0	0	0,16	0,14	0,38	1,6	0,92	0	2,42	0,32	0	0,04	0,4	0
